timestamp,vin,vehicle_speed_kmh,engine_rpm,gear_position,throttle_position_pct,engine_load_pct,engine_coolant_temp_c,intake_air_temp_c,mass_air_flow_gs,odometer_km,accel_x_g,accel_y_g,accel_z_g,yaw_rate_rads,steering_angle_deg,brake_pressure_bar,hv_battery_soc_pct,hv_battery_current_a,hv_battery_voltage_v,hv_battery_cell_max_v,hv_battery_cell_min_v,motor_temp_c,inverter_temp_c,regenerative_braking_active,radar_obj_count,lidar_point_cloud_hash,camera_lane_confidence,ultrasonic_dist_front_m,blind_spot_warning_left,autopilot_engaged,ambient_temp_c,rain_sensor_val,tire_pressure_fl_psi,tire_pressure_fr_psi,latitude,longitude,dtc_code,malfunction_indicator_lamp
2025-12-09 14:15:05.964098,1HGCM82633A511409,0.0,801,0,11.5,11.6,25.1,27.5,12.03,45000.0,0.035,-0.015,0.932,0.0024,2.5,0,95.0,5.0,399.2,4.2,4.1,20.1,17.6,0,0,8920c1da,0.0,2.24,0,0,22.5,0,33.3,33.3,37.7749,-122.4194,None,0
2025-12-09 14:15:06.064098,1HGCM82633A511409,0.0,815,0,11.6,15.2,25.2,27.5,12.23,45000.0,-0.011,0.124,1.004,0.0007,-0.2,0,95.0,5.0,399.2,4.2,4.1,20.1,17.6,0,0,2f9b62c4,0.0,26.31,0,0,22.5,0,33.3,33.3,37.7749,-122.4194,None,0
2025-12-09 14:15:06.164098,1HGCM82633A511409,0.0,780,0,11.2,11.7,25.3,27.5,11.71,45000.0,0.002,0.02,1.058,0.008,0.4,0,95.0,5.0,399.2,4.2,4.1,20.2,17.7,0,0,06579066,0.0,28.26,0,0,22.5,0,33.3,33.3,37.7749,-122.4194,None,0
2025-12-09 14:15:06.264098,1HGCM82633A511409,0.0,807,0,11.5,11.6,25.4,27.5,12.11,45000.0,0.009,0.027,0.954,-0.0054,3.7,0,95.0,5.0,399.2,4.2,4.1,20.3,17.8,0,0,e2009955,0.0,17.98,0,0,22.5,0,33.3,33.3,37.7749,-122.4194,None,0
2025-12-09 14:15:06.364098,1HGCM82633A511409,0.0,780,0,11.2,10.6,25.4,27.5,11.71,45000.0,-0.019,0.002,1.037,-0.0025,3.8,0,94.99,5.0,399.2,4.2,4.1,20.4,17.8,0,0,52637429,0.0,16.79,0,0,22.5,0,33.3,33.3,37.7749,-122.4194,None,0
2025-12-09 14:15:06.464098,1HGCM82633A511409,0.0,814,0,11.6,10.9,25.5,27.6,12.22,45000.0,-0.003,-0.055,0.943,-0.0045,-0.6,0,94.99,5.0,399.2,4.2,4.1,20.4,17.9,0,0,8d7887a1,0.0,22.22,1,0,22.5,0,33.3,33.3,37.7749,-122.4194,None,0
2025-12-09 14:15:06.564098,1HGCM82633A511409,0.0,787,0,11.3,16.5,25.6,27.6,11.82,45000.0,0.02,-0.01,1.007,-0.008,3.3,0,94.99,5.0,399.2,4.2,4.1,20.5,17.9,0,0,da714e1d,0.0,35.63,0,0,22.5,0,33.3,33.3,37.7749,-122.4194,None,0
2025-12-09 14:15:06.664098,1HGCM82633A511409,0.0,811,0,11.6,14.8,25.7,27.6,12.17,45000.0,0.003,-0.071,0.977,-0.0125,-0.3,0,94.99,5.0,399.2,4.2,4.1,20.6,18.0,0,0,82a1bd06,0.0,44.25,0,0,22.5,0,33.3,33.3,37.7749,-122.4194,None,0
2025-12-09 14:15:06.764098,1HGCM82633A511409,0.0,804,0,11.5,9.8,25.8,27.6,12.07,45000.0,-0.022,-0.028,0.97,0.0085,-1.2,0,94.99,5.0,399.2,4.2,4.1,20.6,18.1,0,0,8c78c13f,0.0,37.91,0,0,22.5,0,33.3,33.3,37.7749,-122.4194,None,0
2025-12-09 14:15:06.864098,1HGCM82633A511409,0.0,797,0,11.4,9.8,25.9,27.6,11.97,45000.0,-0.021,-0.002,0.893,0.0262,1.7,0,94.99,5.0,399.2,4.2,4.1,20.7,18.1,0,0,1d0b9eb2,0.0,26.89,0,0,22.5,0,33.3,33.3,37.7749,-122.4194,None,0
2025-12-09 14:15:06.964098,1HGCM82633A511409,0.0,816,0,11.7,14.9,26.0,27.6,12.25,45000.0,-0.014,-0.032,0.979,-0.0038,-1.9,0,94.99,5.0,399.2,4.2,4.1,20.8,18.2,0,0,3100282f,0.0,43.97,0,0,22.5,0,33.3,33.3,37.7749,-122.4194,None,0
2025-12-09 14:15:07.064098,1HGCM82633A511409,0.0,782,0,11.2,11.4,26.1,27.6,11.74,45000.0,-0.011,0.038,1.043,0.0065,-0.5,0,94.99,5.0,399.2,4.2,4.1,20.9,18.3,0,0,809c10dd,0.0,29.73,1,0,22.5,0,33.3,33.3,37.7749,-122.4194,None,0
2025-12-09 14:15:07.164098,1HGCM82633A511409,0.0,811,0,11.6,18.7,26.2,27.6,12.17,45000.0,-0.003,-0.041,1.015,-0.0024,3.2,0,94.99,5.0,399.2,4.2,4.1,20.9,18.3,0,0,dd99b2dc,0.0,25.37,0,0,22.5,0,33.3,33.3,37.7749,-122.4194,None,0
2025-12-09 14:15:07.264098,1HGCM82633A511409,0.0,811,0,11.6,19.3,26.3,27.6,12.18,45000.0,-0.037,-0.044,0.944,-0.0078,-0.9,0,94.99,5.0,399.2,4.2,4.1,21.0,18.4,0,0,514d080d,0.0,46.25,0,0,22.5,0,33.3,33.3,37.7749,-122.4194,None,0
2025-12-09 14:15:07.364098,1HGCM82633A511409,0.0,800,0,11.4,11.1,26.4,27.6,12.01,45000.0,0.017,-0.004,1.029,-0.016,-1.4,0,94.98,5.0,399.2,4.2,4.1,21.1,18.4,0,0,1a02589d,0.0,44.19,0,0,22.5,0,33.3,33.3,37.7749,-122.4194,None,0
2025-12-09 14:15:07.464098,1HGCM82633A511409,0.0,810,0,11.6,15.5,26.4,27.6,12.15,45000.0,-0.034,-0.035,1.008,0.007,-3.0,0,94.98,5.0,399.2,4.2,4.1,21.2,18.5,0,0,7b9581e9,0.0,13.33,0,0,22.5,0,33.3,33.3,37.7749,-122.4194,None,0
2025-12-09 14:15:07.564098,1HGCM82633A511409,0.0,804,0,11.5,13.6,26.5,27.7,12.06,45000.0,0.003,-0.01,0.992,-0.0046,0.2,0,94.98,5.0,399.2,4.2,4.1,21.2,18.6,0,0,a5eb449f,0.0,30.8,0,0,22.5,0,33.3,33.3,37.7749,-122.4194,None,0
2025-12-09 14:15:07.664098,1HGCM82633A511409,0.0,780,0,11.2,15.6,26.6,27.7,11.71,45000.0,0.044,-0.064,1.004,0.0079,0.4,0,94.98,5.0,399.2,4.2,4.1,21.3,18.6,0,0,9c4ae802,0.0,43.86,0,0,22.5,0,33.3,33.3,37.7749,-122.4194,None,0
2025-12-09 14:15:07.764098,1HGCM82633A511409,0.0,790,0,11.3,15.7,26.7,27.7,11.85,45000.0,0.013,0.035,0.949,0.0133,-0.7,0,94.98,5.0,399.2,4.2,4.1,21.4,18.7,0,0,1f012158,0.0,14.3,0,0,22.5,0,33.3,33.3,37.7749,-122.4194,None,0
2025-12-09 14:15:07.864098,1HGCM82633A511409,0.0,812,0,11.6,9.6,26.8,27.7,12.19,45000.0,-0.028,-0.015,1.082,-0.0038,-3.6,0,94.98,5.0,399.2,4.2,4.1,21.4,18.8,0,0,7b1386de,0.0,46.56,1,0,22.5,0,33.3,33.3,37.7749,-122.4194,None,0
2025-12-09 14:15:07.964098,1HGCM82633A511409,0.0,812,0,11.6,16.0,26.9,27.7,12.19,45000.0,0.003,-0.01,1.068,-0.0097,-1.8,0,94.98,5.0,399.2,4.2,4.1,21.5,18.8,0,0,dd1cb4d2,0.0,33.34,0,0,22.5,0,33.3,33.3,37.7749,-122.4194,None,0
